,"ENFERMEDAD","SINTOMAS"
0,"Asma Bronquial","Desde ayer siento un dolor agudo en el pecho y un silbido fuerte al respirar; también tengo fiebre, tos con flema, mucha secreción nasal y noto que todo empezó tras una reacción alérgica."
1,"Asma Bronquial","Me falta el aire, tengo fiebre, estoy tosiendo con flema y con la nariz que no para de gotear; creo que fue por una alergia."
2,"Asma Bronquial","Llevo dos días con un dolor agudo y opresión en el pecho, fiebre, me cuesta respirar, toso con flema y tengo secreción nasal constante."
3,"Asma Bronquial","Estoy con tos, me silba el pecho al respirar y tengo fiebre."
4,"Asma Bronquial","Siento un dolor agudo y opresión en el pecho, al respirar me silba, tengo fiebre, secreción nasal y todo parece una reacción alérgica."
5,"Asma Bronquial","Me oprime el pecho, toso y me cuesta mucho respirar."
6,"Asma Bronquial","Tengo la nariz muy congestionada, un silbido en el pecho, fiebre y tos con flema."
7,"Asma Bronquial","Me silba el pecho al respirar, tengo fiebre, dificultad para respirar, tos con flema y una clara reacción alérgica."
8,"Asma Bronquial","Me falta el aire, siento un dolor agudo en el pecho, tos, tos con flema, secreción nasal y reacción alérgica."
9,"Asma Bronquial","Solo tengo tos, un silbido al respirar y desencadenó una reacción alérgica."
10,"Asma Bronquial","Me falta el aire, tos, congestión nasal, silbido en el pecho, fiebre, dificultad para respirar y secreción nasal."
11,"Asma Bronquial","Noto un dolor agudo y opresión en el pecho, me silba al respirar, tengo fiebre y tos con flema."
12,"Asma Bronquial","Siento opresión en el pecho, congestión nasal, un silbido al respirar, me cuesta respirar y creo que es una reacción alérgica."
13,"Asma Bronquial","Desde esta mañana tengo un dolor agudo y opresivo en el pecho, tos, congestión nasal, silbido al respirar, dificultad para respirar y tos con flema."
14,"Asma Bronquial","Me falta el aire, dolor agudo en el pecho, congestión nasal, dificultad para respirar y una reacción alérgica evidente."
15,"Asma Bronquial","Presento dolor agudo y opresión en el pecho, tos, congestión nasal, silbido al respirar, dificultad para respirar, secreción nasal y reacción alérgica."
16,"Asma Bronquial","Tengo opresión en el pecho, fiebre, tos con flema y secreción nasal."
17,"Asma Bronquial","Me oprime el pecho, me silba al respirar, me cuesta respirar, tos con flema y una reacción alérgica."
18,"Asma Bronquial","Me falta el aire, siento opresión en el pecho, tos, congestión nasal y tos con flema."
19,"Asma Bronquial","Simplemente me falta el aire."
20,"Dengue","Tengo fiebre alta, dolor de cabeza intenso y un dolor profundo detrás de los ojos."
21,"Dengue","Llevo varios días con fiebre, dolor muscular y un cansancio que no me deja moverme."
22,"Dengue","He tenido fiebre elevada, náuseas y me duelen mucho las articulaciones."
23,"Dengue","Siento escalofríos, dolor en todo el cuerpo y he perdido el apetito."
24,"Dengue","Me ha salido un sarpullido en la piel, tengo fiebre y dolor muscular."
25,"Dengue","Presento fiebre constante, debilidad y un dolor de cabeza que no se quita."
26,"Dengue","Me siento agotado, con un dolor muy fuerte en los huesos y la temperatura alta."
27,"Dengue","Tengo dolor detrás de los ojos, fiebre y vómitos."
28,"Dengue","Me vino una fiebre repentina, dolor en las articulaciones y náuseas."
29,"Dengue","He tenido sudoración, cansancio extremo y dolor muscular."
30,"Dengue","Siento fiebre alta, mareos y me duele todo el cuerpo."
31,"Dengue","Tengo escalofríos, dolor de cabeza y molestias en las articulaciones."
32,"Dengue","Estoy muy cansado, con fiebre y me han aparecido erupciones en la piel."
33,"Dengue","Me duele el cuerpo, tengo fiebre y ando con muy poca energía."
34,"Dengue","Tengo un dolor muscular intenso, fiebre y náuseas muy frecuentes."
35,"Dengue","Presento fiebre alta, dolor en los ojos y una debilidad general que me tumba."
36,"Dengue","Siento dolor de cabeza, fiebre y molestias en las articulaciones."
37,"Dengue","Además de los síntomas típicos, tengo dolor de garganta y un dolor extraño en las muñecas."
38,"Dengue","Me duele la garganta y también siento un dolor persistente en la muñeca."
39,"Dengue","Ando con dolor de garganta y un dolor localizado en la muñeca."
40,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada, me duele la rodilla y otras articulaciones."
41,"Artritis","Solo presento dolor en manos y dedos, y la muñeca se me hincha."
42,"Artritis","Me duelen manos y dedos, la muñeca hinchada, dolor de espalda y de rodilla."
43,"Artritis","Tengo dolor en manos, dedos, muñeca hinchada, dolor de espalda, de rodilla y dolor articular generalizado."
44,"Artritis","Noto dolor en manos y dedos, muñeca hinchada, y también me duele la espalda y la rodilla."
45,"Artritis","Me duelen manos y dedos, la muñeca inflamada, dolor de espalda, de rodilla y dolor en las articulaciones."
46,"Artritis","Dolor en manos, dedos, muñeca hinchada, dolor de espalda y articular."
47,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada y dolor en las articulaciones."
48,"Artritis","Se me hincha la muñeca, me duele la espalda y tengo dolor articular."
49,"Artritis","Siento dolor en manos y dedos, dolor de espalda y de rodilla."
50,"Artritis","Dolor en manos, dedos, muñeca hinchada, dolor de espalda, rodilla y articular."
51,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada y me duele la rodilla."
52,"Artritis","Hinchazón de muñeca, dolor de espalda, de rodilla y articular."
53,"Artritis","Dolor de manos y dedos, muñeca hinchada, dolor de espalda y articular."
54,"Artritis","Me duelen las manos y los dedos, se me hincha la muñeca y siento dolor articular."
55,"Artritis","Tengo dolor en las manos, dedos, muñeca inflamada y molestias articulares."
56,"Artritis","Dolor de manos y dedos, muñeca hinchada y dolor de rodilla."
57,"Artritis","Me duelen las manos y los dedos, la muñeca hinchada, dolor de rodilla y articular."
58,"Artritis","Manos y dedos doloridos, muñeca hinchada, dolor de rodilla y en las articulaciones."
