,"ENFERMEDAD","SINTOMAS"
0,"Psoriasis","He tenido una erupción cutánea en brazos, piernas y torso durante las últimas semanas. Es roja, pica y está cubierta de manchas secas y escamosas."
1,"Psoriasis","Se me ha estado pelando la piel, sobre todo en rodillas, codos y cuero cabelludo. Esta descamación suele ir acompañada de una sensación de ardor o escozor."
2,"Psoriasis","He estado experimentando dolor en las articulaciones de los dedos, muñecas y rodillas. El dolor suele ser sordo y pulsátil, y empeora al mover las articulaciones."
3,"Psoriasis","Tengo como un polvo plateado en la piel, especialmente en la parte baja de la espalda y el cuero cabelludo. Este polvo está formado por pequeñas escamas que se desprenden fácilmente al rascarlas."
4,"Psoriasis","Mis uñas tienen pequeñas abolladuras o hoyuelos, y a menudo las siento inflamadas y sensibles al tacto. Incluso tengo pequeñas erupciones en los brazos."
5,"Psoriasis","La piel de las palmas de las manos y las plantas de los pies se me ha engrosado y tiene grietas profundas. Estas grietas son dolorosas y sangran con facilidad."
6,"Psoriasis","La piel alrededor de la boca, la nariz y los ojos está enrojecida e inflamada. A menudo me pica y es incómoda. Hay una inflamación notable en las uñas."
7,"Psoriasis","Mi piel es muy sensible y reacciona con facilidad a los cambios de temperatura o humedad. A menudo tengo que tener cuidado con los productos que uso en la piel."
8,"Psoriasis","He notado una descamación repentina de la piel en distintas partes del cuerpo, sobre todo en brazos, piernas y espalda. Además, tengo dolor articular intenso y erupciones cutáneas."
9,"Psoriasis","La piel de los genitales está enrojecida e inflamada. A menudo pica, arde y es incómoda. También hay erupciones en distintas partes del cuerpo."
10,"Psoriasis","He tenido fatiga y una sensación general de malestar. A menudo me siento cansado y sin energía, incluso después de haber dormido bien."
11,"Psoriasis","La erupción cutánea se me ha extendido a otras partes del cuerpo, incluidos el pecho y el abdomen. Pica y es incómoda, y a menudo empeora por la noche. También estoy teniendo descamación de la piel."
12,"Psoriasis","La erupción cutánea me empeora en los meses de invierno, cuando el aire está seco. Tengo que hidratarme con más frecuencia y usar humidificadores para mantener la piel hidratada."
13,"Psoriasis","He tenido dificultades para dormir debido al picor y la incomodidad que me causa la erupción. Tengo pequeñas abolladuras en las uñas, lo cual es muy preocupante."
14,"Psoriasis","Mi piel es propensa a infecciones debido a las zonas secas y escamosas. Siento un fuerte dolor en las articulaciones. La piel de las rodillas y los codos empieza a pelarse."
15,"Psoriasis","Me están empezando a salir erupciones en la piel. La erupción sangra a menudo cuando me la rasco o me la froto. Además, he notado pequeñas abolladuras en las uñas."
16,"Psoriasis","He notado que mi piel se ha vuelto más sensible de lo que era antes. Tengo como un polvo plateado en la piel, sobre todo en la espalda y los codos."
17,"Psoriasis","Me preocupa la descamación constante de la piel en la palma de la mano, el codo y la rodilla. Me han salido erupciones en los brazos, que me pican al tocarlas. Todo esto está haciendo que mi vida sea bastante incómoda y miserable."
18,"Psoriasis","Siento un dolor extraño en las articulaciones. Además, he notado una extraña descamación de la piel en distintas partes del cuerpo. Me temo que algo va mal en mi organismo."
19,"Psoriasis","Tengo pequeñas abolladuras en las uñas. Incluso las articulaciones me han empezado a doler mucho. Tengo como un polvo plateado en la piel, sobre todo en la espalda."
20,"Psoriasis","Las erupciones de la piel no se me curan. Además, he notado una descamación repentina de la piel, sobre todo en codos y rodillas. Estoy muy preocupado por esto."
21,"Psoriasis","Desde hace unas semanas, tengo una erupción cutánea en brazos, piernas y pecho. Es roja e irritante, con manchas secas y escamosas. También tengo un dolor extraño en las articulaciones."
22,"Psoriasis","Se me está pelando la piel, sobre todo en rodillas, codos y cuero cabelludo. Esta descamación suele ir acompañada de una sensación de escozor o ardor."
23,"Psoriasis","Tengo molestias en las articulaciones de los dedos, muñecas y rodillas. El dolor suele ser sordo y pulsátil, y empeora al mover las articulaciones."
24,"Psoriasis","Tengo una película plateada en la piel, sobre todo en la espalda, los brazos y el cuero cabelludo. Este polvo está formado por pequeñas escamas que se desprenden con facilidad al rascarlas."
25,"Psoriasis","Tengo la piel enrojecida e inflamada alrededor de la boca, la nariz y los ojos. Es frecuentemente irritante y desagradable. Últimamente, se ha vuelto muy doloroso."
26,"Psoriasis","Mi piel es extremadamente sensible y se irrita con rapidez ante los cambios de temperatura o humedad. Las uñas me han desarrollado abolladuras. Estoy preocupado por este cambio repentino."
27,"Psoriasis","He notado una descamación repentina de la piel en varias regiones del cuerpo, sobre todo en brazos, piernas y espalda. Además, tengo un dolor articular importante y erupciones cutáneas. La erupción se está extendiendo a distintas partes del cuerpo."
28,"Psoriasis","La piel de la zona genital está enrojecida e irritada. Es frecuentemente irritante, ardiente y desagradable. También hay erupciones en varios lugares del cuerpo. Además, tengo un dolor extraño en las articulaciones."
29,"Psoriasis","He tenido problemas para dormir debido al picor y al dolor que me produce la erupción. Las uñas tienen pequeñas abolladuras, lo cual es realmente alarmante. Hay una inflamación notable en las uñas."
30,"Psoriasis","Debido a las zonas secas y escamosas de la piel, soy propenso a las infecciones. Las articulaciones me duelen muchísimo. La piel de las rodillas y los codos empieza a descamarse."
31,"Psoriasis","Me están saliendo erupciones en la piel. Al rascarme o frotarme la erupción, sangra con frecuencia. Además, he observado pequeñas abolladuras en las uñas. Hay una inflamación notable en las uñas."
32,"Psoriasis","He observado que mi piel está ahora más sensible de lo que solía estar. Tengo una película plateada en la piel, sobre todo en la espalda y los codos."
33,"Psoriasis","Las palmas de las manos y las plantas de los pies me han crecido y desarrollado fisuras graves. Estas grietas son desagradables y sangran con frecuencia. Además, la piel empieza a pelarse."
34,"Psoriasis","Me están empezando a salir pequeños hoyuelos en las uñas. Estoy preocupado y no sé qué lo está causando. Además, me duelen las articulaciones y tengo erupciones en brazos y espalda."
35,"Psoriasis","Tengo como un polvo plateado en la piel. Además, la piel de los brazos y la espalda empieza a pelarse. Esto es extraño y me preocupa mucho."
36,"Psoriasis","La erupción cutánea se me ha extendido a otras zonas del cuerpo, incluidos el pecho y el vientre. Es irritante y desagradable, y con frecuencia empeora por la noche. También estoy teniendo descamación de la piel."
37,"Psoriasis","La erupción cutánea me empeora en invierno, cuando el aire está seco. Para mantener la piel hidratada, tengo que hidratarme con más regularidad y usar humidificadores. También tengo dolor articular."
38,"Psoriasis","He tenido problemas para dormir debido al picor y al dolor que me produce la erupción. Tengo pequeñas abolladuras en las uñas. También estoy teniendo descamación de la piel en distintas partes del cuerpo."
39,"Psoriasis","Se me está pelando la piel en algunas zonas, sobre todo en rodillas, codos y brazos. Esta descamación suele ir acompañada de una sensación dolorosa o de ardor. También me están saliendo pequeñas abolladuras en las uñas, lo cual es muy preocupante."
40,"Psoriasis","Tengo una capa plateada sobre la piel, sobre todo en la espalda y los brazos. Este polvo está formado por pequeñas escamas que se desprenden con facilidad al frotarlas. Además, tengo erupciones por todo el cuerpo."
41,"Psoriasis","Los brazos, la cara y la espalda están enrojecidos e irritados. Es frecuentemente irritante y desagradable. Las uñas tienen una inflamación extraña y han desarrollado pequeñas abolladuras. Nunca he visto nada parecido."
42,"Psoriasis","He tenido problemas para dormir debido al picor y al dolor que me produce la erupción. Las uñas tienen pequeñas abolladuras, lo cual es realmente alarmante. Además, me duelen las articulaciones todos los días y no tengo ni idea de qué lo causa."
43,"Psoriasis","Los dedos y las plantas de los pies tienen la piel bastante gruesa y agrietada severamente. Estas fisuras duelen y sangran con frecuencia. Las fisuras pican y están cubiertas de escamas."
44,"Psoriasis","Mi piel ha pasado de ser menos sensible a ser más sensible. Tengo una capa plateada en la piel, sobre todo en la espalda, los codos y las rodillas."
45,"Psoriasis","Las uñas están ligeramente abolladas. Incluso las articulaciones están ahora experimentando una incomodidad insoportable. Tengo un polvo plateado en la piel, sobre todo en la espalda y los codos."
46,"Psoriasis","He tenido problemas para conciliar el sueño debido al dolor y el picor de la erupción. La piel de los dedos empieza a pelarse. Las uñas tienen unas pequeñas grietas, lo cual es muy preocupante."
47,"Psoriasis","Las articulaciones están experimentando una incomodidad inusual. Además, he tenido una extraña descamación de la piel en varios lugares del cuerpo. Me preocupa que algo vaya mal en mi organismo."
48,"Psoriasis","Me están empezando a salir erupciones en brazos y cuello. La erupción sangra a menudo y duele al rascarla. También me han salido pequeñas abolladuras en las uñas, lo cual es muy extraño."
49,"Psoriasis","Debido a las zonas secas y escamosas de la piel, soy propenso a las infecciones. Las articulaciones me duelen muchísimo. La piel de las rodillas y los codos empieza a pelarse."
50,"Venas Varicosas","Tengo una erupción en las piernas que me está causando muchas molestias. Parece que hay un calambre y puedo ver venas prominentes en la pantorrilla. Además, me he estado sintiendo muy cansado y fatigado en los últimos días."
51,"Venas Varicosas","Las pantorrillas me dan calambres al caminar o estar de pie durante largos periodos de tiempo. Tengo marcas de moretones en las pantorrillas, lo cual me preocupa. Me siento cansado muy pronto."
52,"Venas Varicosas","Tengo moretones en las piernas que no me explico. Puedo ver vasos sanguíneos extraños debajo de la piel. Además, tengo algo de sobrepeso y estoy muy preocupado."
53,"Venas Varicosas","Tengo sobrepeso y he notado que las piernas están hinchadas y los vasos sanguíneos son visibles. Las piernas se me han hinchado y puedo ver un trayecto de venas hinchadas en las pantorrillas."
54,"Venas Varicosas","Las venas de las pantorrillas se han vuelto muy prominentes y me causan molestias. No puedo estar de pie durante largos periodos de tiempo, ya que me provoca dolor en las piernas, similar a los calambres."
55,"Venas Varicosas","La piel alrededor de las venas de las piernas está enrojecida e inflamada. Creo que puedo ver algunos de los vasos sanguíneos hinchados. Estoy muy preocupado por ello."
56,"Venas Varicosas","Estar de pie o caminar durante largos periodos de tiempo me causa mucho dolor en las piernas. Me dan calambres al hacer actividades físicas. También tengo marcas de moretones en las piernas."
57,"Venas Varicosas","Los calambres en las pantorrillas me dificultan caminar. Me siento fatigado después de trabajar un rato. Creo que la obesidad es la razón de esto."
58,"Venas Varicosas","La hinchazón de las piernas ha empeorado en las últimas semanas. Ahora se me notan muchas venas en las pantorrillas, lo cual me preocupa."
59,"Venas Varicosas","Las venas de las piernas se notan mucho y me causan molestias. Parece que hay un moretón importante y me dan calambres al correr."
60,"Venas Varicosas","La piel de las pantorrillas se ha inflamado y enrojecido. Me duelen las piernas al intentar correr o hacer cualquier actividad física."
61,"Venas Varicosas","Últimamente, el dolor en las pantorrillas ha sido constante y empeora al estar de pie o caminar durante largos periodos de tiempo. Las piernas me han empezado a hinchar y también se notan bastante algunos vasos sanguíneos."
62,"Venas Varicosas","Las venas de las piernas me causan molestias y dificultad para dormir por la noche. No tengo ni idea de por qué ocurre. Me dan calambres al esprintar."
63,"Venas Varicosas","La hinchazón de las piernas me dificulta ponerme los zapatos. No puedo esprintar ni estar de pie durante largos periodos de tiempo. Puedo ver algunos vasos sanguíneos hinchados."
64,"Venas Varicosas","He notado que los calambres en las pantorrillas son cada vez más frecuentes e intensos. Me está causando muchas molestias. También tengo sobrepeso y las piernas me han empezado a hinchar."
65,"Venas Varicosas","Las venas de las piernas me causan muchas molestias al estar sentado durante largos periodos de tiempo."
66,"Venas Varicosas","La erupción de las piernas se está extendiendo y volviéndose más grave. Se me ha hecho muy difícil correr."
67,"Venas Varicosas","Las piernas me causan muchas molestias al hacer ejercicio. Me dan calambres frecuentes y los vasos sanguíneos se han vuelto bastante notorios."
68,"Venas Varicosas","Los vasos sanguíneos prominentes en las pantorrillas me causan timidez y vergüenza. Creo que el problema se debe a mi sobrepeso."
69,"Venas Varicosas","La piel alrededor de las venas de las piernas está seca y escamosa. Parece que hay un moretón importante y las piernas me han empezado a hinchar."
70,"Venas Varicosas","He estado teniendo una erupción en las piernas que me causa mucha irritación y molestias. Está enrojecida e inflamada y parece estar extendiéndose."
71,"Venas Varicosas","Últimamente, las pantorrillas me dan calambres con frecuencia, sobre todo al caminar o estar de pie durante largos periodos de tiempo. Además, las venas se notan mucho."
72,"Venas Varicosas","He notado que tengo moretones en las piernas que no me explico. No me duelen, pero me preocupan."
73,"Venas Varicosas","Como tengo sobrepeso, he notado que las piernas están hinchadas y los vasos sanguíneos son más visibles de lo normal. La hinchazón parece empeorar con el tiempo."
74,"Venas Varicosas","Las venas de las pantorrillas son muy prominentes y me causan muchas molestias. Están hinchadas y sobresalen de la piel."
75,"Venas Varicosas","La piel alrededor de las venas de las piernas está enrojecida, inflamada y me pica. Me está causando muchas molestias y me están empezando a dar calambres regulares."
76,"Venas Varicosas","Estar de pie o caminar durante largos periodos de tiempo me ha estado causando mucho dolor en las piernas. Se siente como un calambre y empeora cuanto más tiempo estoy de pie."
77,"Venas Varicosas","Los calambres en las pantorrillas me han estado dificultando caminar y hacer mis actividades diarias. Aparecen de repente y duran varios minutos."
78,"Venas Varicosas","La hinchazón de las piernas ha empeorado en las últimas semanas y me dificulta ponerme los zapatos. También me causa molestias al estar sentado durante largos periodos de tiempo."
79,"Venas Varicosas","Las venas de las piernas se notan mucho y me causan muchas molestias. Están hinchadas y sobresalen de la piel, haciéndose visibles a través de la ropa."
80,"Venas Varicosas","La piel de las pantorrillas me pica y está inflamada, causándome muchas molestias y dificultad para dormir por la noche. Los vasos sanguíneos han empezado a sobresalir, lo cual es preocupante."
81,"Venas Varicosas","El dolor en las pantorrillas es constante y empeora al estar de pie o caminar durante largos periodos de tiempo. Me dan calambres constantes y no puedo correr durante periodos más largos."
82,"Venas Varicosas","Las venas de las piernas me causan molestias y dificultad para dormir por la noche. Están hinchadas y sobresalen de la piel, haciéndose notorias y dolorosas."
83,"Venas Varicosas","La hinchazón de las piernas me dificulta ponerme los zapatos y me causa molestias al estar sentado durante largos periodos de tiempo."
84,"Venas Varicosas","Los calambres en las pantorrillas son cada vez más frecuentes e intensos, dificultándome caminar y hacer mis actividades diarias."
85,"Venas Varicosas","Las venas de las piernas me causan muchas molestias al estar sentado durante largos periodos de tiempo. Están hinchadas y sobresalen de la piel, haciéndose dolorosas y notorias."
86,"Venas Varicosas","La erupción de las piernas se está extendiendo y volviéndose más grave. Está enrojecida, inflamada y me pica, causándome muchas molestias y dificultad para dormir por la noche."
87,"Venas Varicosas","Las piernas me han estado causando muchas molestias al hacer ejercicio. Las siento pesadas e hinchadas, y las venas están prominentes y dolorosas. Me siento fatigado todo el tiempo."
88,"Venas Varicosas","Las venas prominentes de las pantorrillas me causan timidez y vergüenza. Están hinchadas y sobresalen de la piel, haciéndose muy notorias."
89,"Venas Varicosas","La piel alrededor de las venas de las piernas está seca y escamosa, causándome molestias e irritación. También me están empezando a dar calambres frecuentes."
90,"Venas Varicosas","Tengo una erupción en las piernas que me está dando mucho dolor. Parece que hay un calambre y puedo ver venas visibles en la pantorrilla."
91,"Venas Varicosas","Las venas de las piernas se han vuelto más visibles e hinchadas de lo normal. Se ven a través de la piel y me duele al moverme."
92,"Venas Varicosas","Caminar se me hace difícil por los calambres en las pantorrillas. La obesidad, creo, es la causa de esto. Después de un rato trabajando, estoy agotado."
93,"Venas Varicosas","Los vasos sanguíneos de las piernas son bastante visibles y me dan mucho dolor. Son grandes y sobresalen de la piel. Es inusual y estoy preocupado por ello."
94,"Venas Varicosas","He notado que los vasos sanguíneos de las piernas se están volviendo más notorios de lo normal. Me preocupa un poco. Además, estoy teniendo calambres todos los días."
95,"Venas Varicosas","La hinchazón de las piernas ha empeorado en los últimos días. Puedo ver los vasos sanguíneos sobresaliendo de la piel. Esto es bastante inusual."
96,"Venas Varicosas","Los largos periodos de pie o caminando me han causado un malestar severo en las piernas. Es un dolor ardiente que empeora cuanto más tiempo estoy de pie."
97,"Venas Varicosas","La piel de las piernas alrededor de las venas está extraña. Parece que hay un moretón grande. Hoy en día, me dan calambres frecuentes al esprintar o correr."
98,"Venas Varicosas","Estoy teniendo demasiados calambres en los últimos días. Creo que algo no va bien. Creo que hay un pequeño moretón en las pantorrillas, pero no estoy seguro."
99,"Venas Varicosas","Las venas de las pantorrillas me sobresalen de forma bastante inusual. Estoy preocupado por ello. Además, tengo sobrepeso y creo que esta es la razón de todo esto."
100,"Fiebre Tifoidea","Tengo estreñimiento y dolor de vientre, y ha sido muy incómodo. El dolor de vientre ha ido empeorando y está empezando a afectar mi vida diaria. Además, tengo escalofríos cada noche, seguidos de fiebre leve."
101,"Fiebre Tifoidea","También he tenido algo de diarrea, lo cual ha sido muy desagradable. Ha ido y venido, y ha estado acompañada de calambres abdominales e hinchazón."
102,"Fiebre Tifoidea","He estado experimentando escalofríos y fiebre, junto con dolor abdominal severo. Me he estado sintiendo realmente miserable en general, y simplemente no consigo librarme de estos síntomas."
103,"Fiebre Tifoidea","He tenido muchos problemas para mantenerme hidratado debido a los vómitos y la diarrea. Hay fiebre leve junto con estreñimiento y dolor de cabeza."
104,"Fiebre Tifoidea","He perdido mucho peso en la última semana porque no he podido comer mucho debido a las náuseas y los vómitos. A esto le siguen fiebre leve, dolor de cabeza y dolor de vientre. Estoy muy preocupado por mi salud."
105,"Fiebre Tifoidea","La fatiga ha sido muy incómoda y he tenido muchas dificultades para hacer mis actividades habituales. También me he estado sintiendo muy deprimido e irritable. También hay un dolor leve en la parte abdominal."
106,"Fiebre Tifoidea","He tenido un dolor de cabeza persistente durante la última semana y ha ido empeorando. Ha estado acompañado de dolores de vientre, estreñimiento y diarrea."
107,"Fiebre Tifoidea","He estado experimentando fiebre alta, sobre todo por la noche. Ha sido muy incómodo. Hay un leve dolor de cabeza junto con estreñimiento y diarrea."
108,"Fiebre Tifoidea","He estado teniendo mucha dificultad para respirar y siento que estoy constantemente con náuseas. También tengo un leve dolor de vientre. Ha sido aterrador a veces."
109,"Fiebre Tifoidea","La diarrea ha sido muy acuosa y maloliente, y ha estado acompañada de dolor abdominal. Tengo ganas de vomitar la mayor parte del tiempo."
110,"Fiebre Tifoidea","He estado teniendo muchos problemas para dormir debido a la fiebre alta, el dolor de cabeza y los escalofríos. Me despierto cada día con un dolor terrible en la zona del vientre."
111,"Fiebre Tifoidea","También he estado experimentando algo de diarrea y estreñimiento, lo cual ha sido muy preocupante. Se siente como un dolor agudo y punzante en la zona del vientre. Me siento cansado todo el tiempo."
112,"Fiebre Tifoidea","He tenido algo de estreñimiento y dolor de vientre, lo cual ha sido muy incómodo. El dolor ha ido empeorando y está afectando mucho mi vida diaria."
113,"Fiebre Tifoidea","Estoy experimentando mucho dolor de vientre y estreñimiento, lo cual ha sido muy molesto. A veces, siento una fuerte necesidad de vomitar y, debido a todo esto, me siento muy débil."
114,"Fiebre Tifoidea","El dolor abdominal ha ido y venido, y ha sido muy desagradable. Ha estado acompañado de estreñimiento y vómitos. Me siento muy preocupado por mi salud."
115,"Fiebre Tifoidea","He estado experimentando mucha hinchazón y estreñimiento, y ha sido muy incómodo. Se siente como si hubiera mucha presión y dolor en la zona del vientre."
116,"Fiebre Tifoidea","Estoy experimentando dolor de vientre extremo y estreñimiento. Cada noche, tengo fiebre alta junto con escalofríos y dolores de cabeza. Los últimos días han sido muy incómodos."
